sentiment,title,text
positive,The Donna Reed Show: The Complete First Season,"Great, once again I love the innocence of shows like this. I strive to be a decent person, like the characters on these shows. They do teach us."
positive,"Ease to use, great cost-benefit, sound quality good, most of the times","Good sound quality most of the times, but closer to bigger cities get some interference, sometimes annoying. But, for the price you pay it is a great cost-benefit. Very easy to use."
positive,"great music, unique booklet","Peter Schat's 60 minute opera summerizes in musical form the eternal quest of man for a world better than the one he knows. The music is ephemeral, lasting and constantly doing away with certainties. The booklet is spectaculat, allowing the listener to follow the music picture by picture. The best in its genre."
negative,A Poor Effort,"As a fan of Bruce Wilkerson (having used some of his other material), I am very disappointed with this effort. Bruce should know better. Exhorting Christians to copy one of the most self-centered prayers of a tragic Old Testament character, is a mistake. That the book has commercially prospered and spawned an entire 'Jabez' franchise in our shallow, self-centered, Christian pop culture is hardly a surprise. The theology represented in this book will only fly in propserous Western cultures. The book appeals to the absolute worst element in all of us . . .""how to get the 'secret' key to prosperity"". The Prayer of Jabez is little more than warmed over, self-improvement, pop psychology dressed in Christian lingo. Avoid this book. If you want self-improvement, get the real thing and buy from Tony Robbins or Dale Carnegie."
positive,Works Perfectly!,"Works great. It was easy to assemble and holds many ties. I wish the quality of the plastic was a little better, but it does the job nicely. Recommend to cluttered closets everywhere!"
positive,A beautiful treatise on space and simplicity,"I loved this book. I think that anyone who is building or remodeling can benefit from these elegant, creative, warm designs that use space, light, and location so well. In an age where everyone is madly chasing after ""more, more, more,"" it's refreshing to see so many examples of how ""less is more""---when it's done right."
negative,WHAT WAS THIS TRYING TO SAY?!!!!!!,"The first 50 pages or so it was really good, but beyond that point it got really slow and it just didn't make any sense and doesn't get to the point well enough. I felt that Toni could've done a lot better and should have been. I wouldn't recommened this book to any one. It's not worth the time or the effort to try to understand it."
positive,the essential frank sinatra,it came before they said it would. it came in good condistion i am very happy with this company
positive,This is the best book I'v read,The Forgotten was the first Animorphs book I'v read and now I want to read them all.
positive,"i love this tape ,great work out I think its one of his better videos","I think I am in good shape , but I found that this video its pretty hard , its a challenge its none stop .What i like about it that you work every muscle .good choice"
positive,Life Saver!!,"I love these diaper-like liners!! I put them on top of the plastic liners. I didn't know how great these were until I run out of them and my cats(I have two) started to pooping around. With these liners, I don't have to change the litter for over 3 weeks."
positive,Great sleepsack,I love the material. My baby loves this sleepsack. The material washes great and is very warm and cozy. Highly recommended.
negative,"Cap was busted, taste was awful","I ordered a bottle of this based on a recommendation, for its health benefits, and instructed to put it in my morning protein smoothie. The person who recommended it also swore I wouldn't be able to taste it in my smoothie. Unfortunately, they were wrong. It completely ruined the smoothie with it's funky, almost grassy/plant-like taste. I couldn't finish the smoothie and I don't think I'll even attempt to use it in anything else. To top it off, my bottle arrived with the cap busted. I won't be purchasing this again."
positive,it was pretty good,"I really liked the plot of this book, but it was a little confusing because they have many scenes going on at the same time. The book is about a speech teacher trying to teacher a deaf person to speek and lip read. The topic is really interesting, because I haven't really read a lot of plays about the deaf, and the struggles that they go through. There is also a big romance in the book, but I think that the romance moves a little too quickly, and in that way is unrealistic. The play is in 2 short acts. I really liked the notes from the author in the beginning about the struggle to write this play because of a deaf friend, and about how it was put on in a small theater and then moved to broadway, and then it won a tony for best actress & actor, and best play! I suggest that you read it because it brings up a lot of interesting issues!"
negative,i thought it would be better,The dvd seemed to be of poor quality especially for the price. The documentary also was not what i expected. It left me with alot of questions unaswered..I would not recommend it.
positive,One of Two Must Own Collection of Short Stories,"The other is Neil Gaiman's Fragile Things. I know this may seem odd to have O'Connor, the genius of revealing the inner workings of the human, beside Gaiman, but if you read Gaiman the connections are there. I'm all about getting readers from different disciplines and genres to connect with other fields. O'Connor's work, as most know, is as perceptive as it gets. Reading her work is a pure revelation, an ongoing epihpany as to what makes humans human (especially the southern religious human). Read, re-read and enjoy."
positive,"Proud, happy Cube owner","I am a proud, happy owner of 2 apple Cubes ... This one as well as a tricked-out model with 1.5 GB of Ram, a 1.5 Ghz G4 processor and a 160 MB hard drive.Regardless of the stats, the cube has to be one of the most amazing pieces of industrial design ever created ... and it is a Mac (of course) to boot!I haven't had any trouble with either of my Cubes ... and I would suggest that everyone gets one before they become real-collectable items!"
negative,Expensive and unclear,"This book is sucha collasal waste of money. The ideas presented are very basic, but the authors are rather daft and manage to confuse readers even on simple concepts. Much of the stuff any normal person with average IQ would be able to understand reading investopedia. The book is a typical MBA book - dumbed down, glossy and expensive."
positive,A decent average quality sheet.,"This sheet feels a little stiff when you first take it out of the package but it softens up a bit when you wash it. Don't expect an extremely soft sheet; it is about average, but, for the price it isn't bad. Also, unlike many people I prefer the cotton/poly mix in my sheets because they don't wrinkle nearly as bad as pure cotton.I would recommend this sheet to all but the most fussy sleepers."
positive,"Cobol, it's alive and kicking","It is a good book and an educational video. Especially the reassuring words in lesson 1 gives a Cobol-Dinosaur like me, some hope for the future. I have been developing in Cobol for about 25 years. Beside Cobol, I have also developed in Basic and have made several utilities for MultiEdit, which programming language is almost identical to C++. Starting with RM/Cobol, migrating to Microfocus Cobol and I made the last Cobol-manufacturer's (dialect-) move 10 years ago to ACU-Cobol. Halfway the second lesson in the video I was eager to try VisualStudio in combination with Netcobol. So that is a good sign. This book gives a clear picture of the bridge between Fujitsu-Cobol and .NET.Keep up the good work, Howard!"
positive,Gogo brown rice bowls excellent taste and time saver,"I use the rice bowls as a time saver. They microwave in 1.5 minutes and have an excellent taste and consistency -- just as good as my Whole Foods brown rice when cooked 45 minutes. I find this produce adds a lot to my life -- I have one for dinner almost every day -- whole grains with no mess, no fuss. I recommend this product highly."
positive,If you love comedy,"If you love comedy, you should like this movie. Very funny. Most video stores no longer carry this movie, was thrilled to hvae found it at Amazon."
positive,A new perspective,"I enjoy American short stories, and I feel that reading this book opened my eyes to new perspectives. For example, I had not thought about the relationship between Asian and Latino immigrants in the 1940's. The themes are fresh and varied and it's possible to read the stories in whatever order suits you."
positive,Retro but cool,"This is an old book, but it is a great one. My daughter always loved making the cranberry bread for our family even though she would never eat it herself!"
negative,Not good at all - Get the Conze (1959) edition,"DO NOT buy this text! The scriptures are not organized in anywhere near the intuitive fashion as the Conze version, and it is missing a whole host of sutras, most notably, EVERYTHING about the conversations between King Milinda, and the Bodhisattva, Nagasena, which are absolutely critical in any study of Buddhism. Lopez's rambling and unhelpful inter-locutions throughout the text are distracting and unhelpful, and really break up the blow of what little original text he didn't butcher. Seriously, buy the 1959 edition by Conze and you will be much happier."
positive,"good story, lots of action","Good story-line, likeable characters, lots of action. What more do you need from good sci-fi? Ends with the possibility of a sequel."
positive,Mirrors help.,"We bought these to put on our 97 Dodge Ram for towing our fifth wheel,,, they are a decent mirror for the money, we did add a little bit of foam inside the cavity to help the mirrors stabilize, but for the money it's a very good purchase."
positive,Collogeuge of Old artists performing at Christmas,"I bought this to watch old Christmas type shows. Contains many great artist performing together like noone today. Great to watch during the holidays as a treat.The entertainment is very different from what this generation is use to,oh,well great to watch and share."
positive,Marble Wine Jackets Work,"Serving Temperature is one of the factors that affects the taste of wine andis under your control. Tools that help you control serving temperature add to your pleasure. A marble wine jacket will keep wine that's been previously brought to its best temperature at that temperature for about the length of time that it takes for two or more diners to finish it.Marble jackets are better than ice buckets because they don't lead to all that annoying dripping. They are less versatile than the silver or printed sleeves that you can store in the freezer and use when you carry wine to a restaurant or host's home. On the other hand, they are less ugly and even fit right in with some table decor.Lynn Hoffman, author of New Short Course in Wine,The,and the properly chilled bang BANG: A Novel"
negative,antisemitic trash,"Perhaps Turgenev was reflecting the prejudices of his day, but the story of the Jew is highly antisemitic -- and distasteful. Had I known of its content, I would never have downloaded it."
negative,...the entire book is printed upside down,"So i received my copy and it's fine, aside from the fact that the entire thing is printed upside down. Now whenever I'm reading out of it for my class people look at me like I'm an idiot :oD I do find it funny that when you open it, it proudly says ""PRINTED IN THE UNITED STATES OF AMERICA"" upside down on the first page."
negative,Disappointed,"I am a big fan of renaissance instrumental music, and since these are dances, I was expecting some pleasant, spirited melodies, like on the excellent English Country Dances. Although there are several tracks like this on this CD, many are slow and dirgy. These, combined with the tracks with soprano vocals, make one feel as if they were in church, which is not a bad thing, if that's what you're looking for."
positive,Good product & tech support,"The item works as expected, tech support is very helpful. the problem i had is getting the plate to seal on the vintage style master cylinder. the chains & clamps wont work you will have to use a couple of c-clamps to get a good seal & even it is difficult. I believe if you were using this item on a modern master cylinder that is attached with the screw seal then it would not leak. Motive tech support is helpful & will advise the customer of the work arounds for this item."
positive,This is amazing!,"People are just not appealed to something that they're not used to, such as Evanescence with a classical twist. It being a big classical twist, but, whatever! It's truely amazing to hear all the parts done by a quartet. True musicians such as myself honestly appreciate this beauty."
negative,horrrrrrrrrible,Follow the leader is okay if its your first korn but korn and life is peachy are worth listening to.This sucks bad do not buy it if you like Freak On A Leash And Got The Lie those are good songs.But The Rest just plain sucks. Get The singles Got The Life and Freak On A Leash unless you don't mind wasting your money!!!!!!!!!
positive,TBI family survivor,After reading this book I was so greatful for the excellent care hospitals now give.I am also thankful for all this family has done.
positive,Not Just for Children,"I love this CD and have no children. The music on this CD is very soothing and wonderful to listen to, for anyone interested in listening to beautiful music. It's very nice to listen to in the car, and I didn't fall asleep!"
positive,A superb introduction to analysis,"It is not really possible to add anything to the many positive reviews already here, so I will reaffirm the fact that Rudin's Principles of Mathematical Analysis is indeed the best book from which to learn basic analysis. While it is not an easy book to learn from, it forces you to really know the subject and be able to think for yourself."
positive,Good as the First,"My son had played this game before we bought it. He enjoys it as much as the first. Thing I like about it is there's plenty of free play - once you beat the game there's still plenty to do, making it a tad easier on the wallet."
positive,Serviceable Ceiling Hook,"I wanted a hook to hold a suspended Tiffany style lamp over the center of the dining table on my new screened porch. The hardware store types were unsuitable, so I did what I always do when I can't find what I want--go to Amazon.com The hook isn't exactly stylish but it beats the hardware store hooks by a mile."
positive,super light weight,"decent, good looking stroller for the cost - one of the lightest out there. i've had no trouble opening it with the snap of one hand while holding my son in the other. per the other reviews, do not get this stroller for the ipod feature, you can barely hear it - also the toddler tray is way too high and my front wheels squeak a bit even after applying wd40, but for the cost, weight, comfort and looks, it was exactly what I was looking for."
negative,good charlotte is just pop trying to be punk,this is the 2nd worst band in the world behind simple plan. this song is awful and it makes me wanna throw up. this is just a pop band that all the teen girls say is punk. if you want real punk music you should get Offspring's Ignition. that albums spits on this pop trash.
positive,great music at a great price!,"Many years ago... I bought and enjoyed the album ""Urubamba"". Some years later, I bought this album to satisfy my craving for more Andean flute music. I was initially a little disappointed; the production quality is not up to the level set by Urubamba and the style is less ""polished and refined"". But it grew on me.In recent years, I began searching again for more such music, and found the groups Inkuyo and Sukay. And here on Amazon, I came across this CD (my album is long gone)... as soon as I heard the first track sample, it all came back, and I realized I now like this CD as much as the ""polished and refined"" sound of Urubamba (not that I wouldn't buy an Urubamba CD in a heartbeat, but I can't find it anywhere!). Yes, this CD is less polished, but it maintains a high energy level and has equally good musicianship, with a style that is more spontaneous and carefree (IMHO). At this price I think this is an excellent buy, and I recommend it highly."
negative,Not a buy book,"After reading this! From Front to back. I would rate this in my opition as a not buy! Its a 3rd edition: copy write 1993. This book has not kept up with changes in the eletronics field. Since 1993. It devotes a whole chapter on using a oscilloscope. Which uses the older type scopes. It has a whole chapter. On volt meters. Which is out of date. This field has widen on the type of meters in the market now. The first thing I did notice was the illustration. (No color or B & W pictures) Which, where a little cartoonist looking. It has a chapter on testing TVs. On using the old picture tube with vacuum tubes. On page 194 it shows a illustration on building your own Vaccuum tube tester. If you can find a TV that still uses tubes. It also has a page on 185 on testing Phono Cartridges with a scope. It does talk about IC near the end of the book."
negative,Crap live set song selection shows why Y & T never made it big.,"There are two and 1/2 good songs here; Meanstreak and Hurricane rock, Black Tiger starts to rock but gets tedious. Everything else is either a crap ballad, an obscure album track, or a lame repeat 4 words ad naseum excuse for a song. The 10 album has great songs, hard times is NOT one of them. Nothing from Contageous, no lipstick and leather, nothing from Down For the Count. And nobody wants to hear anything from the first two albums. Poor live song selection and chosing the worst song from an album to be the single, are why Y & T never made it big. Can't say whether this is what they sound like live because every show where Y & T were an opening act that I had tickets for Dio, Yngwie, Y & T never bothered to show up. A band that never really cared and it shows."
negative,I respectfully disagree.,"I thought this movie was slow. I understand why screenwriters make characters make stupid decisions, so that they can explore the resulting mayhem, but I thought this main character would have been smart enough not to be so dumb. This film is not one iota as good as ""Better Luck Tomorrow.""I was shocked years ago when I saw Russell Wong playing a character that had a long, classic, hair queue. In this film, Russell is a dyed blond and yes, it looks a hot mess! Clearly, they wanted him to imitate one of the villains in ""Rush Hour 1."" This film lacked subtitles of any language. I'm disappointed."
positive,"No ""Psychic Paper Wallet"" included and overpriced.","I just purchased this product under the impression it came with the ""Psychic Paper Wallet"" and payed 29.99 for this. The same product is advertised on this same site for 19.99 without the Wallet. Why would I pay 10$ more for the same thing? VERY misleading images and reviews on this product, unless you just want the screwdriver and want to pay more money. All that being said it is a very fun item to have and the seller has contacted me in regards to the confusion. Check the dates on these reviews, the Psychic Paper wallet version is discontinued and does not exist on this site."
negative,Weak suction,"Maybe something is wrong with my vac, but the suction powerful is extremely weak. I can barely pick up human hair... Very disappointed."
positive,Frozen Yogurt Maker,Love this device!! Makes great frozen yogurt in a fraction of the time with NO MESS and NO SALT.
negative,"overated, unengaging story","I'm really surprised at the high reviews.On the positive side, IRIA has some interesting character design and atypical elements of science fantasy. Plus the DVD is about 180 minutes long.On the negative, IRIA is unengaging and more action than story or character based. I found myself bored, and quickly not caring what was going on.There's nothing particularly special about the animation, though it does feature some nicer background paintings. Hold frames of IRIA are drawn better than most. IRIA pales in comparison to GHOST IN THE SHELL, ARMITAGE III, NINJA SCROLL, GIANT ROBO, and even THE BIG O, in my opinion.A rental, at best."
negative,Hilarious! Fantastic bathroom literature!,I've heard about this book for years and recently inherited a copy. Can remember when it was being distributed to and by the churches where I grew up in the 70's. The author lives in a fantasy world accentuated by his own dementia! I'm only vaguely familiar with many of the groups mentioned within yet can recognize dozens of outright errors. Even sadder is that someone on Amazon is trying to sell it for over $100. Never pay more than $2 for it unless you can steal it...
positive,Simple and elegant espresso,"Too many words would ruin the simplicity and elegance. It simply makes delicious espresso, quickly and with a minimum of effort. Cleans up in about 2 minutes...I take mine camping.The ""cup"" ratings are for small, traditional sized espresso cups. If you like to pour a mug full of espresso, then divide the cup rating by 4 to arrive at an approximate size for your ""machine"". My nine cup maker gives me 2 full sized mugs of rich coffee. For you ""crema"" people...there is none.It is inexpensive, relative to plug in type machines, so it is as nearly a risk free purchase as you can make. Enjoy."
positive,Non-Fiction,"This is a rerelease of the first 2 Non-Fiction cds plus a few bonus tracks. We didn't make a penny on this rerelease, but I STILL want you to buy it! I think my favorite song is, ""Reason To Die"" although it never went over well live, so we rarely played it. You can search out videos for The My Way, In The Know and Reason To Live on YouTube plus our heaviest song, ""Peaked"". If you loved Non-Fiction check out THE CURSED my band with Blitz from Overkill. I also have 3 solo cds...and a brand new ""Best of"" coming out in the fall of 2008. Dan"
positive,Superb!,"Excellent summary information on the Valley of the Kings, presented in a concise and coherent format with lots of correlated information. I do not fully agree with the conclusions drawn about KV55, but this does not detract from the value of the book as a whole."
negative,Unreadable,"I had never read anything by Julianna Baggott prior to my unfortunate encounter with The Madam. I certainly won't bother with anything else she's written. I find it appalling that a writer who, according to information on the book jacket, has written both prose and poetry for various reputable publications, not only has a generally poor grasp of English grammar, but is unaware that ""noisome"" means ""putrid"" or ""malodorous,"" and not ""noisy,"" which is what, based on the context in which the word appears, Baggott clearly assumed it meant. And did anyone bother to PROOFREAD this book for such malapropisms--as well as its numerous grammatical inaccuracies? If the usage in this novel is a reflection of what is happening generally to the English language, then we are in serious trouble. Prose like this is, as far as I am concerned, unreadable by a truly literate public."
positive,Defending this book,"I recently purchased this book before having read any on-line reviews. After getting through the first 47 pages I believe it to be a great book and don't understand all the negative criticism. I have only been around javascript about three months now and have been using two other books (one of which is a totally useless visual quickstart book that is only good if you wish to copy the code and not learn a darned thing!!!)and believe this book is easy to digest. Any javascipt book takes some time to absorb (however, still avoid the quickstart book!!!) Take it slow and read carefully and do the exercises. Good luck."
positive,Another winner by Ms. Coel,This series by Ms. Coel is refreshing because the main characters are not perfect people. They are just like us with doubts and failures and struggles to deal with while solving crimes too. Excellent story telling and the Native American/southwestern flavor is a plus.
positive,A story of triumph!,"Unbelievable story of life's cruelty inflicted upon an individual, only to turn things around against all odds. Great story. A true story of triumph."
negative,Not good,It is very sturdy and fit my Milwaukee Miter saw with ease... My issue is I have only had this product for 3 weeks and its rusting.. This concerns me will this product fail quickly?
positive,"If your're new to Johansen, this is a great story to start with!","This was my first Johansen novel, and I promise it will not be my last. I wouldn't recommend it for reading in public, though, for it is filled with passionate scenes that will make the prudes blush! It is best embraced late at night before bed. It is a unique blend of history, mystery and romance. Johansen has a unique skill for developing characters with depth; they draw you in, and leave you feeling the story's end has come to soon.The plot surrounds a coveted statue, the ""Wind Dancer"", and the effects it has on those who have, and those who want it. The novel is short, but definitely worth it. You will not put it down."
positive,Pink forever,"No mistake with Pendaflex... good product... but so hard find... in pink... so so rare... For all those pink lovers out there, you'll be happy!"
positive,You should see his new stuff...,"This book is good, but his latest work is much more powerful. You can read some of his latest poems at his site, http://www.duanesposito.com"
positive,treats,"very good treats for your dog, they are soft and small, good to put pills in and my dog loves them!!!"
positive,Really helped with 'burning' sensation in my feet,"I have been taking this for about 4 weeks now, and I've noticed that the burning sensations I was getting on the bottom of my feet (especially the right) has almost disappeared. It no longer feels overwhelming at times, and I seem to have better feeling in my big toe as well.It helped some with my blood sugars, but the largest benefit for me has been in the neuropathy calming down."
positive,A wonderful album,"From beginning to end, this is a 'new-age' work of art. I have a few George Winston albums, and this is one of my favourites. He has the ability to transport you to another place and conjures up pictures in the mind...on this album, as the title suggests, forests. It is truly awe-inspiring what GW can do on the piano. This album is so much more than just ""background music"" as one reviewer suggested. It may take a few listens to really get the music in your soul, but that's always the way with good music. It begs you to listen. Highly recommended."
positive,Great,Product works great glad it came with the bolting hardware. Instructions would have helped but able to manage. One window done getting ready to order second one for other window.
negative,Doesn't Fit,"The Lenovo 40Y8725 Thinkpad Serial ATA Hard Drive Bay Adapter I received from Amzntech doesn't fit my T61. It was actually sold by meditechny thru Amzntech. It almost fits, but it's a few millimeters too high. I'm guessing the company that built it (not Lenovo, I'm sure) got the measurements a little wrong. Anyway, I'm going to try the cheaper (about $12) one, also sold thru Amzntech, but probably made by another company. I might add that it came in good time, but it didn't include an invoice with it (a possible problem with a return)."
negative,medicinal plants,"this book was interesting, names of plants were difficult even for the instructor to pronounce. I was a bit disappointed as a non- ethnobotanist major, why this book was used in an introductory class that we will most likely not ever travel to the rain forest"
positive,It works but,"This thing works but for $9 for 1, I was expecting something more durable. This thing is made from very thin plastic (as thin a paper). Being thin you have to be very careful when using it because it is easy to get damage/bent up. I would suggest searching on Google for homemade sealmate and try to make one before spending $9. As of the posting date of this review, Alba Action has a list price of 4.99 for 12 instead of $50 for 12. if you can get 12 for 4.99 I would recommend it if not you can make your own."
negative,Not what was advertised,This book wasn't the edition that it said it was. On top of that it was full of markings with highlighter and pen. The pages were in good shape except for the writing everywhere. I'm very disappointed
negative,Waste of time and money,"this game is a waste of your time and money. There only only * to buy this game:1# You get a Pikachu immediately, and don't have to catch one2# In the game you recieve a Bulbasaur, a Charmander, and a Squirtel. In the Blue/Red verisons, you have to decide between them.3# This follows the idea of the TV show.Those are the other reasons why you should buy Pokemon Yellow. Buy Crystal imstead."
negative,"For a DVD, very mediocre","Mediocre transfer. Have seen VHS tapes quality and broadcast tv that were much better. Appears that they simply transferred an old VHS copy to DVD. The narrator's voice comes out of the left speaker only, faintly from the right. Virtually no surround effects, no natural sounds and only music and the man's voice. Very disappointing since the sceneries were beautiful shots."
positive,Good DVD,"Good DVD...wasn't expecting to hear swearing, but fortunately it only says a couple of swear words throughout the whole thing..arrived fast and in great shape..Thanks :-)"
positive,"When you see a tail hanging out of dogs mouth, it looks real!","The dog really likes these (squeaker in each one).WARNGIN: When your dog is carrying one of them around in their mouth with just the tail hanging out, it looks like she really has some rodent in her mouth! Kinda freaks me out sometimes, (not because I'm scared of rodents, I'm not really scared of anything.. well maybe spiders.. and really old people behind the wheel)"
negative,I tried,"I tried but couldn't read this. What arrogance! Schlessinger considers herself blunt without realizing the difference in directness and haughty meanness, or the difference is what is right and her own self-righteousness."
negative,Hit And Miss,"This third volume is just not as appealing as the first two were. The strong hooks aren't there, the pop sensibility isn't either. Too many of these sides are forgettable."
negative,Shameful,"Do not waste your money. These sheets are rough, scratchy and see through. My son had a Nemo themed room so we purchased these sheets. what a waste of money. It is very sad that something so loveable and pricey is made so poorly. I would recommend getting the Nemo comforter which is well made and buying a set of comfy sheets."
