review,sentiment
"This is the very first Three Stooges short with Shemp that I saw, and it is one of my favorites! <br /><br />That is what I really liked about Shemp when he returned after Curly's stroke, he did not try to be like Curly, he was his own character, and that is what I admire! Shemp is my favorite third stooge, I like him more than Curly, but I like Curly as much as I do Shemp. Shemp is great, he's funny, he's silly, he's SHEMP! <br /><br />I really loved the scene where he dropped the nickel and Moe got into the booth with him to find it and they ended up getting tangled in the wires and really badly hurt! <br /><br />But what I really thought was scary was when Shemp had his face smashed against the glass of the phonebooth, he looked like a deformed Professor Snape!<br /><br />Poor Shemp, he had a lot of bad things happen to him in this short, but that is just typical Three Stooges, they always have a lot of bad things happening to them! <br /><br />This short is another must see for Three Stooges fans! <br /><br />10/10",positive
"Director: Tay Garnett, Ford Beebe, Cast: Mike Mazurki, Vic Christy, Fritz Ford, Tay Garnett.<br /><br />Based on the number of comments I see on IMDb, this seems to be a forgotten movie. This seems rather ironic to me because it is actually one of the first movies that I remember. My mom took me and my little brother to see this film at The Garland theater in Spokane when it first came out in the mid 1970's and I still remember it.<br /><br />I am going by memory here but I believe this move is about a trapper who was accused of a crime which he did not commit and the law goes after him. I believe it to be set in 1800's Alaska. A narrator tells the story of the trapper played by Mike Mazurki. Really, this is a very good film with a great setting. It could be compared to the 1981 film Death Hunt with Charles Bronson. The two films have a very similar story line. The main difference between the two is Death Hunt is an adult orientated film whereas Challenge is a family friendly film. <br /><br />Mike Mazurki and Tay Garnett were both rather old when this movie was made which I find rather impressive when one considers that this movie was filmed on location in the wilds of Alaska. This was the last film made by Tay Garnett before he died which was just a few years later. They both had been around since the silent era.",positive
"In this flame of emotion we are introduced to several different high-school youngsters during one eventful day at school. All of them struggle with belonging,finding them selves and keeping their painful secrets from being revealed.Has the feel of a coming of age documentary focusing on students inner landscape and their way of dealing with everyday challenges.Gets of with a powerful opening and develops like a hymning requiem.Thalluri moves the camera with great skill and invites us slowly into the youngsters minds and hearts. A fictional reconstruction that enlightens us all and reminds us of the frailty of youth.One of the most important films of today. every teenager should be given the opportunity to see this moving piece of film.",positive
"Soap Opera about a small town married woman (Kay Francis) who works at the local newsstand, performs as leading lady in her local playhouse, but dreams of becoming a star on Broadway. When a famous actor who is a ham, a windbag, and a womanizer to boot, arrives in town she visits him in his room with dreams of him giving her tips to stardom - he pretends his valet is his ""manager"" tricking her into believing she has all it takes but ""experience"" to become a big star. Her husband finds out and punches the guy resulting in the actor's unexpected death - which leads to a murder trial and even more unexpected: a life prison sentence for hubby. Next thing you know she's joined a traveling Burlesque show in hopes of one day making it to Broadway and making enough money to get her man's freedom - all the while her baby is sleeping in a trunk!<br /><br />This film has a pretty interesting plot, well, a bit far-fetched perhaps, but very melodramatic (with tons of melodramatic music to make sure you get it) - all *greatly* enhanced by the strong, emotional performance given by Kay Francis - she just makes this film. Also helping here is the well-done acting by Minna Gombell in her role as a ""getting close to forty"" older lady who works the burlesque and befriends Kay. Worth seeing, especially for Kay Francis fans.",positive
"Brian Yuzna is often frowned upon as a director for his trashy gore-fests, but the truth is that his films actually aren't bad at all. The Re-Animator sequels aren't as great as the original, but are still worthy as far as horror sequels are concerned. Return of the Living Dead 3 is the best of the series; and Society isn't a world away from being a surrealist horror masterpiece. This thriller certainly isn't a masterpiece; but it shows Yuzna's eye for horror excellently, and the plot moves in a way that is always thrilling and engaging. I'm really surprised that a horror movie about dentistry didn't turn up until 1996, as going to the dentist is almost a primal fear - it's running away from a tiger for the modern world. Dentistry doesn't frighten me, but surprisingly; I would appear to be in the minority. The plot follows perfectionist dentist Dr Feinstone. He has a nice house, a successful career and a beautiful wife - pretty much everything most people want. However, his life takes a turn for the worse when he discovers his wife's affair with the pool cleaner. And his life isn't the only one; as it's his patients who feel the full brunt of his anger...<br /><br />When it comes to scaring the audience, this movie really makes itself. However, credit has to go to the director for extracting the full quota of scares from the central theme. The fact that he does a good job is summed up by the fact that I'm not squeamish about going to the dentist - yet one particular scene actually made me cover my eyes! The film follows the standard man going insane plot outline, only with The Dentist you always get the impression that there's more to the film than what we're seeing. It isn't very often that a gore film can impress on a substance level - and while this won't be winning any awards, the parody on the upper class is nicely tied into the plot. The acting, while B-class, is actually quite impressive; with Corbin Bernsen taking the lead role and doing a good job of convincing the audience that he really is a man on the edge. I should thank Brian Yuzna for casting Ken Foree in the movie. The Dawn of the Dead star doesn't get enough work, and I really love seeing him in films. The rest of the cast doesn't massively impress, but all do their jobs well enough. Overall, The Dentist offers a refreshing change for nineties slasher movies. The gore scenes are sure to please horror fans, and I don't hesitate to recommend this film.",positive
"Five years on from the Tenko survivors returning home, and from Marion's double-edged ""Well that's that"".<br /><br />It's now 1950: reunion time. The gang's all here: Marion, Bea, Ulrica, Kate, Dorothy, Christina, Dominica, and latecomers Maggie and Alice. The story that unfolds is a beaut: as perfectly written and acted, and as thought-provoking and moving, as the original series.<br /><br />All the questions left hanging at the end of the series are neatly answered here. From Marion's family to Joss's health centre, everything has changed in five years, and not everything has changed for the best.<br /><br />A trip to Dominica's plantation brings plenty of shocks and some truly edge-of-the-seat tension. There's a real sense of tragedy and disaster as, once again, fate takes over and the women struggle for their lives. Dominica finally shows her true colours, and there are some shout-at-the-telly moments of drama.<br /><br />Lush location filming in Singapore, and an opportunity to catch up with a group of women who feel like they have become friends. It's such a shame that this really is the end. I could watch it all over again. Perfection.",positive
"Two actors play rival gangsters in three films, the final of which is a sci-fi film, that nods strangely to William S. Burroughs, Philip K. Dick, and anime all at once. The robots are actually called ""replicants"", a reference to Dicks Blade Runner(several visual allusions to the film can be found as well) and the bad guy is a psychotic gay mayor obsessed with limiting procreation through use of a compulsory drug for ""heterosexual love is fleeting, and homosexual love is eternal""....martial arts fights ensue, a first for the dead or alive films. The hilarious climax involves the two leads morphing into a winged robot with a gigantic phallus for a head, who personifies ""destruction"", which has been the path of both characters thus far, their individual minds and later literal heads functioning as something like testicles. The film ends with the mayor f*&%ing his free jazz playing boy lackey as the robot apparently tears down a wall around them, the last words of the mayor ""Oh f*&%"", followed by a quick fade to black. Part of me felt cheated, part of me confused, but mostly I was just laughing. A lot of the film is quite boring though, the best scenes bookend the film while the rest is far too slow. Takashi Miike has always mined the sexual motifs beneath male violence in action films, and this film with the exception of ""Gozu"", reinforces this theme more than any other. Sex and violence are two pretty basic themes, but like Cronerberg(who the jazz interludes may be a homage to ala Naked Lunch)Miike is able to show where the two connect, to hilarious an oddly cohesive effect.",positive
The film has so much potential which was not developed. Mark Hamill gives a good performance and so does Bill Paxton. The scenery is beautiful and the ultralight aircraft are neat. The problem with this film is that the story is way underdeveloped and the plot goes nowhere. The film at certain points almost puts you to sleep. I give it 3 out of 10 stars for the flying scenes.,negative
"I've given up trying to figure out what version of this I'm watching. The copyright at the end indicates 1983. And though this is not the important bit of my objection to this film, I will say that watching a film obviously made in the Aquarian Age (including long haired hippie chicks and odious station wagons) but with a 1980s synth soundtrack is unsettling. Extremely unsettling.<br /><br />My main objection here is HOW DARE THE FILMMAKERS BURY CUTE-AS-A-BUTTON PAMELA FRANKLIN ALIVE. HOW DARE THEY.<br /><br />Seriously she's all like adorable and stuff but in the two movies I've seen her in - this crapfest and the otherwise excellent Legend of Hell House - they kill her off.<br /><br />I would like to put the film industry on notice. Pamela Franklin has apparently retired from the business but if she ever decides to do another film and some blasted cur of a director attempts to kill her off I SHALL ASK HIM TO STEP OUTSIDE.<br /><br />NO ONE BEATS UP ON PAMELA FRANKLIN AND GETS AWAY WITH IT. I AM QUITE CROSS. THE FURY HAS BEEN UNLEASHED.<br /><br />For B-movie fans seeking out a crapfest, you could do much worse than this. On the plus side, this is not a film which involves Satanism in a peripheral and circumspect way - this movie is a hardcore satanic film.<br /><br />Wall-to-wall satanic ceremonies, baphomets, hallucinations, a ludicrous rat attack - what else could you ask for.<br /><br />This excellent stuff is quite nearly ruined by the baffling grafted-on 1980s synth soundtrack, which is about as mismatched to a film as it is possible to be. The soundtrack reminded me of something you'd hear on The Equalizer. It's really bad.<br /><br />Also, they made Pamela Franklin squash her charming English accent, which was also quite rude, if not a cruel atrocity (against the viewer) such as you might find covered by the Universal Declaration of Human Rights. I say that we have a right to hear Pamela Franklin speak in her own voice. Who's with me? I could forgive everything else about this film if they didn't abuse Pamela Franklin. And so I throw the gauntlet down, sirs -- ANYONE WHO MESSES WITH PAMELA FRANKLIN MESSES WITH ME.<br /><br />EVEN IN A FICTIONAL CONTEXT.<br /><br />GOOD DAY, SIRS.",negative
"It really impresses me that it got made. The director/writer/actor must be really charismatic in reality. I can think of no other way itd pass script stage. What I want you to consider is this...while watching the films I was feeling sorry for the actors. It felt like being in a stand up comedy club where the guy is dying on his feet and your sitting there, not enjoying it, just feeling really bad for him coz hes of trying. Id really like to know what the budget is, guess it must have been low as the film quality is really poor. I want to write 'the jokes didn't appeal to me'. but the reality is for them to appeal to you, you'd have to be the man who wrote them. or a retard. So imagine that in script form...and this guy got THAT green lit. Thats impressive isn't it?",negative
Good action and interesting plot. Having seen the original I must say it was an interesting improvement and showed more of the movie. Good cast .. meaningful acting.. although it would nice to see some more expansion in the action scenes rather than the background story. Fun movie to watch and keeps you alert all the time 7/10 is a right vote I think!,positive
"I really like this movie. Bozz is an ultra-cool, not to be intimidated soldier who does not want to go to war. His persona is similar in a way to Yossarian in Catch-22, Joseph Heller's classic novel about men and war. This film, however, is not set in a war zone, but in a pre-war combat prep training. This wonderful film is all about the sickening realization that the Vietnam war was a mistake and those men who were pegged to be sacrificed for a losing cause.<br /><br />Colin Farrell is brilliant as Bozz, a soldier who showed as much genuine love and compassion for his fellow soldier as he did disdain and irreverence for the establishment that was trying to kill him. Bozz is totally cool and non-plussed, testing and tweaking his military superiors, getting their goat at every opportunity. He is a Jesus Christ figure with a psychology degree, ""saving"" his fellow soldiers and showing the ones in genuine need, the way out of this man's army.<br /><br />The acting and action is crisp and believable and as a ""Sleeper"", Tigerland goes down with Apocalypse Now and Full Metal Jacket as one of the top three Vietnam films in my opinion.<br /><br />FIVE STARS, a top pick.",positive
"Well, it definitely is unlike anything else directed by Lynch. No supernatural stuff, no violence, no profanity. Nevertheless, it is a beautiful flick. It's a little slow but perhaps that was intentional because it's the story of an old man's 6-week(that's my best guess for its duration) journey. The characters are everyday people and thus, they are believable. The performances are good and the final scene was incredibly touching. Everyone who has a sibling can relate to it. Lyle and Alvin don't even have to say anything. For a moment they are back in the old days and all the fighting is forgotten.",positive
"Raising Victor Vargas fails terribly in what it tries most to be: being real. Unfortunately, there is no reality to this film. The characters and situations feel completely artificial and fake.<br /><br />The reason? Bad directing. Peter Sollett uses all the wrong tools in his arsenal. It seems Mr. Sollett read somewhere that not lighting his film would give it an authentic feel. Wrong! It just gives it a badly-made feel. Similarly, shaking the camera does not give a documentary style to your film, it just gives the audience a headache and detracts from what's on screen instead of enhance it.<br /><br />Of course, what's on screen is so painfully fake, as if Mr. Sollett wrote his script with the only goal of trying to look ""hip"" to his Sundance buddies and show how ""edgy"" a filmmaker he is.<br /><br />Overall, the only lasting impression this film leaves you with is what a bad director Mr. Sollett is. Next time, how about taking a few writing and directing classes?",negative
"""Showtime"" falls somewhere north of what some critics have been saying, and a little south of what I expected months ago when I first heard about Eddie Murphy and Robert Di Niro teaming up for a comedy. Overall, it was pretty good! As ""real life"" crime or cops go-- and plot, for that matter-- it is pretty illogical, but DUH--- this is a comedy. Also, while the special effects, chases, aerial shots, and skyscrapers blowing up were present but lower key than a Schwartzenegger movie, I found it a bit tiresome and overdone. 9/11 sensibilities aside, for myself, all that pyro-techno hyper-effect stuff had been getting really old these past few years. It seemed a lame substitute for characterization, story, and engaging emotions. I hope the lesser quantity of it in ""Showtime"" is an indicator of a trend in Hollywood. A trend downwards, of less use of the silly, less use of the exploding building.<br /><br />Di Niro and Murphy are two of my favorites. Their screen presence and charisma-- and even their character depth-- have been ""a joy to behold"" for many years. That can't be dismissed here--- they are engaging actors, and entertaining and appealing in this movie. I can't put my finger on it, but perhaps the explosions, the excessive FX, and all of that diminished the final product??? Perhaps, or perhaps it was something else, or a combination of factors that gives one the sense that the movie didn't achieve its highest potential. Whatever it was, ""Showtime"" was entertaining-- I probably will buy the DVD when it comes out-- but I had the vibe that it nonetheless wasn't all it could have been. At least not all I had hoped for.<br /><br />Very good movie, but not a great movie. I gave it an 8 out of 10.",positive
"Final Score...who cares - it's a reality show. It has no love for it's audience, it panders to lazy TV viewers, puts nothing in and gets nothing out.<br /><br />""Joe Millionaire"", the most blatantly phony reality show of them all, is a television disaster of epic proportions. It's a watershed, rock bottom moment, not only for Fox, but for the American viewing public who actually watch, like and talked about this crap the next day. You people ought to be ashamed of yourselves. Because as much as Fox promotes this junk it won't make any money unless it's watch by people (and boy was it, the finale got nearly Super Bowl numbers!?). It doesn't bother you people that there are many quality shows written, directed, acted and generally have effort put into them that are being cancelled while you sit back and lap up this effortless, cold game show?<br /><br />I used to be a staunch supporter of Fox. It's those of us like me who like and seek out quality TV that helped build Fox back in the days of Married...with Children and The Simpsons. Conveniently enough, now neither of those shows would make it 6 weeks with the current management. The Gail Berman ""reign of terror"" as it's often called. The network has waged war on scripted TV AND, strangely enough, it's fans. The very people who helped build them in the beginning. Now, not only do we have to fight for good shows, but we have to fight against their own network. It boggles the mind. Nothing Fox, has done in the past 3 years makes any sense. From canceling hits like ""Titus"", ""Futurama"" and ""John Doe"" (NBC can renew ""Boomtown"", but Fox can't lift it's pitiful head to give the only decent show they had this season another shot?). And the reason they can do all this: the success of junk like ""Joe Millionaire"". They can now say ""We don't need you TV fans, we have reality shows"". They apparently seem to have no idea that the big audience the draw with this junk is fickle and WILL abandon them the second the next fad comes along. To alienate their base like this will eventually kill the network the way it has set back ABC.<br /><br />The show itself is a joke. Here we have a premise, in the now classic Fox gimmick, that promises us something different and edgy, but then delivers something not in any way different from ""The Bachelor"" or anything on the big 3. Fox has gone mainstream. The finale and ""twist"" (quote/unquote) showed they have no ideas up their sleeve. Now we know that all these shows, no matter how different they look, will all end up the same cornball, fairy tale ending. We got to see a bunch of lame aspiring actors that the network picked out of millions of head-shots to fit their demographics parade around like high school bimbos pretending they liked this Evan Marriott because...well because it was a competition and that's what you're supposed to do. Marriott himself is like a hideously disfigured Chro-magnum man who struggles to put together the simplest sentences. But, how can the women (all average to ugly looking by the way - an important minus is a guilty pleasure show like this) not fall for ""Joe"" with such charming lines like ""Look, you're not stupid"".<br /><br />I used to think that people who watched these reality/dating/game shows were just to lazy to change the channel, but after ""Joe Millionaire"" I think they must be genuinely mentally deficient. Come on people, have a little more pride in yourselves. Demand a little bit more from your entertainment then THIS.<br /><br />Boycott FOX.",negative
"Marjorie, a young woman who works in a museum and lives with two female roommates, Pat and Terry.One night she gets in her car and is attacked by masked man with a knife.His plan is to rape her, but she manages to escape.The man has her purse.The police can't help her, since the actual rape didn't happen.Then one day, when Marjorie's roommates are at work, her assailant comes there.His name is Joe.A long battle begins against this man.But then she manages to spray his eyes and mouth with insect repellent, stuff that will kill him if he won't get help soon.She ties him up and makes Joe the subject of the same kind of physical and mental assaults he used on her earlier.The Extremities (1986) is directed by Robert M. Young.It's based on the controversial off-Broadway play from 1982 by William Mastrosimone.Farrah Fawcett, who sadly lost her battle with cancer last year, is terrific as Marjorie.James Russo, who played the attacker also in the play, is convincing as Joe.Alfre Woodard and Diana Scarwid are great as Pat and Terry.James Avery is seen as Security Guard.She got a Golden Globe nomination.This is not a movie that is supposed to entertain you.It asks a question is revenge justified.This is not a perfect movie, but I recommend it.",positive
"As a member of the cast, I was a member of the band at all the basketball games, I would like to let the world know after being in the movie, that we were not allowed to see it since it was banned in Oregon. This was due to the producers and the director breaking the contract with the University of Oregon where it was shot. Seems that the U of O sign was shown. While we were shooting, we were allowed to eat several meals with the cast and production staff. Mr Nicholson was quite memorable for being one of the most ill-mannered men I have ever met. Quite a time for a young 20 year old. BUt certainly not what campus life was really like in the late 60's and early 70's despite what Hollywood may think. Trombone player from Oregon",negative
