sentiment,text
negative,"Wow, it's amazing how desolate the Metreon is. 95% of the businesses are gone. "
positive,At the movies watching night at the museum.  http://twitpic.com/6b2uh
negative,"Never been so uncomfortable in the car. Only 3 hours left  one of those few times where stumps come in handy. Ash, stay away."
positive,Smile!...it's Monday 
negative,@livnb HE REPLIED TO ME!! FUCK DO YOU THINK HE HATES ME NOW!?!?!  LIKE HE REALY HATES ME!! 
positive,on behalf of being an unidentified celebrity .. i have to say fans are truly amazing 
positive,@CHIEFHITTS.. Well that's not my fault you weren't paying attention Mr. Hittmaker! 
negative,@haforhope  I hope you are feeling better! I feel bad you are sick    Hope you feel better soon.
positive,"2 hour nap  yay! And then I'll get back to it, only to fix any last aecovd errors, and begin memorizing."
positive,watching sunday night cartoons with my Chris 
negative,sold wrx sti today  sad as..... now waiting on the evo 10 to arrive yeah!!!!
positive,@aliceisababe my birthday is on june 12th 
positive,Best sleep in weeks last night. There's nothing like a cool evening and a cozy blanket...and a husband snoring in my face 
positive,i go to my bed  see u later 
negative,@blackflash  Sorry baby. Take some Pepto?
positive,i'm enjoying my own company 
negative,"@andytuk Shame I don't have any of my old computers any more    [ Vic20, Dragon32, BBCB, Amiga A500, Amiga 1200, 486dx2 ]"
positive,@bjr70 I'll check him out thanks 
positive,boys are a bunch of glue sticks.  haha fuckers.
positive,At the zoo with my mom 
positive,watching letterman and talking 
positive,@TreeinCally had a good afternoon bbq and alcohol 
negative,"Oh My God, the moving company lost my tub full of beads, moccasins, regalia, and gifts from Grandpa "
positive,Johnny the Sax working out those thighs on the River Cam 
negative,@ashleyis2pretty you left me. 
positive,jonas is officially on disney channel  OMJ OMJ YAYAYAYAYAYYAY
negative,@Raenichols Oh GET YOU assface 
negative,mannnnn I'm sooo pissed Dalworth carpet clean is here 2 clean my couch and they talkin about chargin $234 (not the $75 i assumed lol) 
negative,@NKOTBGirl83 That stinks  Any idea when power will be back on?
positive,Enjoying that margarita now  
positive,My new office in Frankfurt next tot the ECB  - http://mobypicture.com/?jo82y5
positive,"homework oh homework, i hate you, you stink  did you know we had to recite this poem in fourth grade? cause it's so true"
negative,Excited to see the airborne toxic event tonight but not excited about the pile of unfinished bids and paperwork I left at home  
negative,"is getting a new phone! Sorry if you have tried to text me and I havent texted back, my phone is very sick "
positive,"@BadAsh84 that's why god invented gmail, darlin'. "
positive,@imadedinner your foodie charms are A-DORABLEEEEEE 
negative,@AnnieMullins even though i'm following you I think it's very sad you have to tell me this 
negative,man Atlanta does this crap every single time! what a waste 
negative,Fucker left town for good.  http://twitpic.com/6pc4j
positive,"@tommcfly don't worry, they love you "
negative,Hope Not Hate site says BNP have gained another seat in the North West... 
negative,"Mac is sitting at home, sick  man I got the sickness..."
negative,"@KattyLenoir88 hey sweetie, at&amp;t hasn't released the mms function for the update yet. It doesn't come out til the end of the summer "
positive,@paulmadsen lol! I tried to follow the last one via twitter search but was only mildly successful 
negative,@Eri8321317 came out strawberry blonde  and its a wash out color so my hair is lookin really golden right now i hate it!
positive,@Debalobo us too! Welcome aboard 
positive,It's like a mini family. Binky and Ryan and I 
positive,is having a good day 
negative,My best friend is moving today  It is going to be crazy today as I have to get stuff together tonight for trip this weekend
negative,@bwJen I know   Lots of  things in the world that I can't control this week....thank you for the reminder to breathe.
positive,I am downloading a crap load of Jamiroquai musica! 
negative,gage is always right 
positive,@shakeNbake Which nobody can deny! Happy Birthday! 
negative,@cheekyspook U havent unsubscribed to me have u 
positive,R2 @ezraklein Dude...you're pretty connected...call Bezos up and ask him. (lemme know how that goes too) 
negative,"Is feeling rather unloved today, where is everyone and why arent you talking to me????! *huff, stomp, sulk* "
positive,@MileyParamore Me To   I'm loovin' &quot;Back Around&quot;    x
positive,"@pigduck I have a couple possibilities in mind.  Going to visit later this year and see how they feel.  And yes, out of state "
positive,cant wait to go home for the holidays  missing my family and friends
positive,My tweak of Vic Gondotra's  quote: &quot;The Web has won -- it's the dominant platform of our time!&quot; 
negative,"OMG. I can't believe transformers spell Michaela, Mikaela. WTF. Not cool "
negative,"Summer is here and so are my headaches ! It makes no sense. you know, the kind that makes light hurt??? need to get my painkillers ready "
positive,@amberrrrrrr I think it was the cake that put us all over the edge.  It was yummy.  Your family knows how to throw a good party. lol 
negative,"Aww. I HELLA love these kids! They took all my french fries  Hahaha! Sneaky kids. Titanic, spaghetti and Popeyes. Yes"
positive,http://bit.ly/IACch  i love them. made me smile 
negative,@BNIpioneer Many thanks for sending that link through Betty asked me to go but I was busy at NEC that day  was really disappointed
negative,I think my laptop just died........................  .................... 
positive,@blissmanu I started at 15:50 and reached the finish line around 2:08 later. Quite proud of myself I must say! 
negative,@taylortighten I LOVE YOU!  *punches evil bus lady*
positive,I shall stop tweeting so much for the sake of Jonas &lt;--- i cant get over the movie! 
negative,Report writing sucks...even more when the sun is shining outside the library and the blinds are closed 
negative,"@London313 he didn't make it.  shortly after i sent you that reply, he passed away..."
positive,Its been two months ! Still extremely happy 
negative,@KGyall TODAY MANNN. SNIFF SNIFF 
positive,@paulsthinking keep your hair on! defo making a lovely batch of cupcakes  
negative,@scribblepotemus @StephenDMason That's just wrong!!! 
negative,Muffins empty room  http://yfrog.com/beidej
positive,@MissKellyO you tell the little Twat!  X
negative,"@dani3boyz  #nhltweetup #twtvite: damn, none of these things i can make. "
negative,sad that he is going already this early 
negative,@T_Rex_513 I'm working all weekend 
negative,@drewseeley yeah i still haven't seen it but everyone i know has  *love noodles*
positive,Let's see... Need me some followers 
negative,"@jewelparlour i had that yesterday.... wah, i have gastric pain again... "
negative,"i have a lot of exams , projects "
negative,"@Justine_xxx Soooo jealous, i soooo wanna see Danny "
negative,friday night. 9:50. contemplating sleep. NOT ASHAMED. it's been a hard week. 
negative,@AndrewPGlover exactly shoulda taken me. 
positive,"@jon_read thanks! nope, bypassed the D5000...it isn't enough camera for me "
negative,@bluntmag I just saw your Lyn-Z poster... I really love it but I live in the States and nowhere imports your mag here 
negative,RIP Clark Sabine. Statehood is a great band 
positive,"@readingthisbook Aww, thanks!!  "
positive,@martial17artist  Yeah... is screams &quot;INCEST&quot; LOL
positive,"@ritasummerstar that too.  Apparently, they are out there - but in hiding I suspect  "
negative,is upset about missing the vixens game. I also might not be able to the game next monday 
positive,so nice to have @g5shanna and kids home! gets lonely despite loving my s/w dev time - prefer coding when @g5shanna is baking than away 
negative,@daniellllle i didn't even notice that you twittered me.  sorry i almost killed us  but were alive so get ready for this weekend!
positive,@Fearnecotton Jonas brothers- Paranoid it would make me very very happy! 
negative,I was hoping to see the lakers duje it out with the cavs... 
negative,@DungeonWarden oh no.  are you really saying that the clouds story isn't fun and stuff?  seriously?
negative,how anyone could ever abandon a boston terrier.. i'll never understand 
positive,Because I want yoknow where you are. Going 
negative,is in trouble with my sims 
negative,"I guess if I really want to sort my sleeping out, I should go to bed earlier and wake up earlier. But that's like shifting timezones "
positive,@superjamieee because everyone loves you soo much 
positive,"@aurik /patpat I do that alot too, its ok "
positive,my puppy is sleeping w/ me! she's so cute! 
negative,"@Philsz of course ill be there, its my bdaybash dude! Haha ik had ook wel willen gaan  http://myloc.me/4qPQ"
positive,@_iLoveIsaiah  theres a lot of things that remind me of you  &lt;3 especially airplanes and helicopters lol
negative,@Anita_PvR I know   &quot;Shorty got no cable.. *hahahaha* #bsb
positive,@amnajahmad Awesome  I can't wait to see the photos xx
positive,sleep and training for work 
negative,@adamgriffiths Mhmmm. *sigh* Dora doesn't use Wifi anymore. 
negative,"i wanna paint. but i have to finish my homework first, practice guitar, go to tennis and watch tv. i don't have time "
positive,Dull day. Better weekend apparently. Going to my first car auction tomorrow 
positive,thinks there is nothing like spending time with a friend 
negative,@stephenofficial hope you've had a lovely day off!The tour is amazing but I miss you guys sooo much I really live in the wrong country  X
negative,"Kevin Slavin wants my plants to tweet me now!! Oh, I have no plants... I feel sooo lonely  #140conf"
positive,@kielymedia - yey thanks for hooking up with us @tweetupmellers - Great to have a super savvy lovely lady like you on board! 
positive,@aplusk  omg ashton isthat a doll i want it 
negative,"@presentsknits i know right, how do you screw that up? but i pretty much have to wait for it to come in now and suffer "
positive,"@faabianne thanks for the tip fabie, you're saving my life, sweet bridesmaid!! haha "
negative,@Wilhuff_Tarkin 
positive,Talking to my wife at 4:30 in the morning = total win!! Love you!!! 
positive,Its nice out!!! Going to brunch now! 
positive,@ApothecaryJeri Yes I do  Arachnoleptic Fit (n.): The frantic dance performed just after you've accidentally walked through a spider web.
negative,@joyanne aw i heard you got soaked! and i never even got to see you! 
positive,i suck at tweeting. UGH. um. sleeping after a long day of packing...my parents come tomorrow!!  um...TAKE YOUR TOP OFF '09 is so sooooon!!
positive,thank goodness I'm off tues/wed/fri  5days of class and 9 days till Miami...
positive,"@shaunoc Yes, pretty amusing "
positive,@Ranieka the hokey pokey 
positive,@hjluks right you are - like 'participant' only slightly less clumsy  @healthythinker uses 'health citizens' I believe...
positive,@rocksosteady Ah hear dat playa im on the same tip 
positive,@JonCoffee welcome to twitter.. 
negative,"@rustyrockets Russ, ur ears must b buring. I been talking bout u on twitter for hours. Seems u've kissed all my followers 'cept me. V sad "
positive,Is on her way to see &quot;Up&quot;!!! Yay 
positive,@chefmikee808 Where do I send them?! 
positive,@Compl33t Fount  it! SUCH an amateur bug. 
negative,"just finished watching why why love, and needs to watch something new "
negative,doing novel study.. MUST FINISH BY SUNDAY NIGHT! that makes me tired just thinking about it 
positive,@katyperry hi  How r u?
negative,work 2-8 yay me.. 
positive,How i'm gonna spend my saturday. Best Buy. Panera Bread. Movie Theatre. All at Fenway Park. 
positive,"I'm waiting, for the perfect time to call you back. Coz i remember saying, don't wanna know the truth can't handle that. Busted Loves  Xx"
positive,Eek.  Just a little longer till Montreal! Then NY.. then Paris... Barcelona.. oh my goodness! Thrilled.
negative,"thinks she is getting a cold that she caught from Daddy.  Oh no, my trip would be ruined. "
negative,@w00dRabbit O don't play me like that  I want to have an affair with ur Mac....
negative,Destination: City Channel studios. Nervous! And very tired 
negative,"@Babybahamut Haha, no. My luck wasn't quite that bad, although our 2:00 lunch turned into a 5:30 dinner thanks to the stupid tire. "
positive,@JonasBrothers I've just booked my tickets for Jonas Brothers 3D Concert and am crazy excited Im going to the last showing due to exams 
negative,i miss my puppies... 
negative,Had to delete ESPN's iPhone app (Bricked my backup)...Come on ESPN! Please get this fixed 
positive,finally watched the mtv awards hehe twilight won yay and kristin sterwat rob pattison fake kiss thing was so funny! so was bruno 
positive,"@TiNa1901 well,im at work.super bored!haha what time is it where u live? here's 9am!just startin the day "
positive,"http://bit.ly/M9Avq FPO Â»The Little Book of IY A...Offset, 6/6, die and deboss...oh so pretty "
negative,went 2 the hair salon its raining like a BEAST out there UGH! &amp; i had 2 pee so bad comming baq sucks 2 not have a car 
negative,hello headache. Can u please go away...  back from pav. Shopped nothing. @aisyahzaini stylogile nama armand. Slapslap. U need help dude!
positive,"@dougiemcfly no, you aren't stupid dougs, u just burn the dunnut "
positive,In the mood for cleaning  then hit the golf range
positive,wow. this weekend is taking everything i got...one more night 
negative,Fathers day 
positive,@aditya nah I said understatement with regards to Dave Winer 
negative,"you need to read this and bookmark that website. it is so hilarious i am still laughing. just wet my pants!!   kidding, but seriously!!!!l"
negative,Knee hurt 
positive,Feeling pretty icky today between allergies and cramps. Some months I had being a woman. 
positive,"@ShannonRenee yes.. I'm getting in touch with my rural, hillbilly roots "
positive,@zeatres nola not to that extent hahah are you crazy. and what contacts 
positive,http://twitpic.com/7gj6c - good morning tornadoes! Thunder and lightning go BOOM BOOM...FLOODING MY DRIVEWAY? oh gee thanks  Now i kno ...
positive,... you a jerk! [ikno] -- goodnight twitt fam!  love ya'
positive,After 5 years of using a Mac.. I just figured out how to move an Item.. instead of copying it from one drive to another     CMD and drag
positive,@Gomerch Hey Monday. hahahah then I'll play along. 
positive,good morning everybody!  i've just baked some white chocolate chip cookies and now im eating breakfust ... going to our neighbour soon
negative,"at grandparents, race cancelled due to rain  boredd"
positive,@Mazi thanks we just checked  http://mazi.tv and we like it a lot  will follow up
negative,car not behaving.  it already needs a check up.  now it may need more.  $$$ 
negative,Great I can't log on to sub version  need to commit stuff
positive,http://twitpic.com/6hbfe - Christian Louboutin 
positive,@ManuelaW yes! I really enjoyed it  I thought you were talking about the book that was based on..  I'll get something out of the library
positive,@Jonas_Dreamgirl oh. Sweet!!  that's good cause they shouldn't judge people like that. Thanks for letting me know. Night! xo
negative,Bajaj removes fuel injection from the P220  to cut costs by 5k - while Honda adds it to its 125 cc Stunner !!
positive,@yas_ser i cannot believe you are qusetioning leaving Flickr??? unless you have a better substitute and i think you still don't. PLZ stay 
negative,I'm bummed out that Danny Gokey was voted off AI last night. 
negative,@mishacollins so sorry master  
negative,"Sorry didn't post last night  And Now,Stuck With MapleStory!!!Zzz...Very laggy,though."
negative,wishing i could be in three places at once 
positive,"@viettiptop: hi, nice to hear from ya "
positive,@mimiparadise Good morninnggg 
positive,Just sitting at Nordstrom...haha. While facing Brookey who is sleeping and doesn't know I'm here 
negative,@yelyahwilliams http://twitpic.com/6u375 - I can't see it 
negative,"should be leaving for indy right about now, but sold all our tix  have fun at #phish all, see ya in august in chi-town"
positive,is still obsessed with getting Misfits shoes. Hopefully buying a pair in July. 
negative,"@MariBiscuits oh, ugh... Sorry to gear that. I hate nights when I can't sleep "
negative,@sandrablom oh thats sad  im sorry ;)
negative,Spilled coffee on myself... 
negative,@RobPattinson_ hmm... i just heard about lots of people r chasing u down i feel really sorry about that 
positive,@ahj just pretend you are a student - have to wear creased thingy for weeks on end 
positive,It's just another manic Monday 
positive,"@keshiaford lol! Hey its early, u already know "
negative,"@asyeasyeasye oh it was good, but I'm really tired  I need some rest hehe and I have to work tomorrow "
negative,"IT'S NOT SUNNY OUTSIDE!  Elma, Me, Madelene and Elin was going to the beach and take photos today! Hope the sun is going to shine anyway!"
positive,"@rmolden I think the original quote was about beer, but that works too!  "
positive,Twitter via local sms? Yes! Is possible via tweet.sg  - http://tweet.sg
negative,"@Thummper08 I try my best , some think I should change the way I am if I want a full time ride , that made me "
negative,@narrowstairs thank you mama 
positive,@kathleenbabyy I miss you too ! &amp;&amp; kkay 
positive,"I still think new &quot;Uncover and Discover&quot; motto sounds redundant and naughty, and will only encourage the misuse of the Library Stacks. "
positive,Im on twitter  new member
negative,my ankle still hurts really bad.  hope i didn't do something stupid.....wait...wait..oh...yep
negative,guess I'm NOT going to NYC Pride this weekend after all  Nowhere to stay 
positive,glow in the dark wiffle ball tonight woo 
positive,"@Danni41 Ha! Didn't think of that. Something liberating about it, good time to think things through. I'm OK, may take you up on that soon "
positive,@FabulouSonia HAHA!  She started it!  Now she'll know not to mess with me 
negative,@violetph Is tomorrow synoptic or DJ &amp; Shakespeare? I don't even know that. 
negative,is working in the concession stand all day. sad tonight wont be happening cause i wanted to see everyone again 
positive,"just got back from school , and listening to stereos "
positive,@PJA4ever nm really and u? how have u been? we should keep intouch alot on here coz i haven't spooken 2 u 4 a lil bit 
positive,@SwaroopH Sorry about the duplicate DM; flaky connection is causing lots of issues. (Does Twitter still delete DMs from both accounts...? 
negative,Had to RUN into work because of the pouring rain- got inside and realized I forgot my coffee  saaaad night ahead
negative,im having one of those really difficult days where your mind is a bitch. i miss my ex 
positive,we're off to breakfast .... need brain food  http://twitter.com/babybe/statuses/2067487863
positive,"@nileylovestory your stories are the best  loveeee niley! and your youtube is honestly amazinnnggg, so amazzinngg! haha love ur channel =]"
negative,"@A_Feisty_1 Wait, I'm a little hurt by that! "
negative,@fearcandy666 shit sorry. totally missed your question... really hoping you checked kerrang! gigs as show was last night at underworld 
negative,"@cadysays yupp, Anoop, Strength Training, shaving, and Aslan lol.but he always sez so much and theres a 140 character limit, no smileys "
negative,"Sigh, just not feeling like myself  I hate that!!!!"
positive,Going to busch gardens with grace for the day 
negative,PK has too many things to do... 
positive,"Got to sit in the new camaro today at the chevy dealership.  It was very cool.  If anyone wants to buy me one, you can pick the color.  "
negative,@BrownEyedV Vizzle!!! Oh how I miss you! I still cant get on the fc at work  bad times whats new??/xx
negative,@lissieloo76 I did drop it but I wasn't going to just sit there and be insulted for no reason 
negative,Now its going to be two days without hearing my shnu's voice 
negative,Leaving state college...boo.   going home for the papa's day.
positive,@georgiaface lmfao! wow ive not been that naive in ages! Thanks for that! sorta made me feel young xD PS. Dirty neighbours! 
positive,@lindaherself thank yu &lt;3 
negative,@nikcz yea i noticed that as well bohoo 
positive,"It begins again  VERY excited. Really hope it's legit. Those in the know, jump on board &amp; follow @simeonhobbes  http://tr.im/lz8f #Los ..."
positive, wooo happy times
negative,@Emm_Jay  lol i cant sleep 
negative,"the course i wanted to do @RMIT was cancelled, so now i'm screwed coz there's nothing similar offered that i can do instead "
positive,"@ShellyRouse  tile, i think.  but w/ suzanne, who knows! "
positive,drinking mojito  oh yeahhh
positive,Google goes pink today 
negative,is it too early to start eating my lunch? i'm so hungry 
negative,ok I'll be back around 12:30 gotta leave and head to Hville    I'll b back bham!!
positive,a good end to a lousy day. 
negative,"My day, has anyone seen my day? I can't find it anymore. If you see it, tell it to come back. "
positive,home! time to eat! what did everyone else have for dinner today?  p.s. #marsiscoming
negative,Sorry Our Picture Isn't Working   We're Working On it
negative,Omg I'm watching old ppl dance ecuadorian music  help
negative,mrs. Julian lagi buat steak tapi katanya bukan buat gue!  http://plurk.com/p/yum1f
negative,Damn... my mum took away my 360 
positive,http://twitpic.com/6b7qu - this is how i spend my time in long car rides 
positive,@sian_the_mouse yay! a duck! if i want anything watching me it'd be a duck!  lol
negative,"small problem when testing the php/mysql demo, need to use two seperate browsers to test otherwise the cookie code gives me same name "
positive,"Back from #SotR09 drinks with @bigmadkev. Cool band at O'Neills and was great to meet @tpryan, claude e, @peterelst, @Fitzchev and others "
positive,691 updates 
negative,Just looked at me @replies and i never saw some of ur replies so if i ever didn't tweet u back i'm sorry 
negative,Good early morning! Jj is not feeling well  keeping him company.
positive,@witchfulthinkin I believe she is. 
negative,gotta tear myself away and do work now 
negative,Little brother graduates in less than 12 hrs. Makes me feel old. I don't want to grow up 
negative,@kflosworld  booooooo ppl r dumb from one flo to another...
positive,Writing the outline for the Mac Fundamentals class that I will be teaching on 6 June. I can't wait to get to teach it. 
negative,From blue to green to violet. My new hair color just got wash by the rain 
negative,@musicangela not yet 
positive,Do you know? Enrique Iglesias 
positive,@clairevoyant Please do!  Would love to finally get the chance to hear it.
positive,More #FridayFollow @Sparty1216 thx 4 FF last week - sorry not 2 reply sooner @ArticlesBin - thx 4 sharing great info  Have a lovely day!
negative,Wish i didnt have to work today   cinema tonight though
